date,co2
1974-05-17,333.38
1974-05-18,333.11
1974-05-19,333.46
1974-05-20,333.64
1974-05-21,333.5
1974-05-22,333.21
1974-05-23,333.05
1974-05-24,333.14
1974-05-25,333.23
1974-05-26,333.32
1974-05-27,332.79
1974-05-28,332.43
1974-05-29,332.6
1974-05-30,333.3
1974-05-31,333.25
1974-06-01,333.2075
1974-06-02,333.16499999999996
1974-06-03,333.1225
1974-06-04,333.08
1974-06-05,332.75
1974-06-06,331.83
1974-06-07,332.09
1974-06-08,332.0
1974-06-09,332.36
1974-06-10,332.25
1974-06-11,332.28
1974-06-12,332.03
1974-06-13,331.85
1974-06-14,332.63
1974-06-15,332.02
1974-06-16,332.1
1974-06-17,332.18
1974-06-18,332.74
1974-06-19,332.33
1974-06-20,332.35
1974-06-21,332.53
1974-06-22,332.35
1974-06-23,332.25
1974-06-24,331.44
1974-06-25,332.08
1974-06-26,331.67999999999995
1974-06-27,331.28
1974-06-28,331.61
1974-06-29,331.73
1974-06-30,331.85
1974-07-01,331.645
1974-07-02,331.44
1974-07-03,332.06
1974-07-04,331.65
1974-07-05,331.58
1974-07-06,331.53
1974-07-07,331.54999999999995
1974-07-08,331.57
1974-07-09,331.65
1974-07-10,331.47
1974-07-11,331.55
1974-07-12,331.26
1974-07-13,331.27
1974-07-14,331.15500000000003
1974-07-15,331.04
1974-07-16,330.8
1974-07-17,330.745
1974-07-18,330.69
1974-07-19,330.96
1974-07-20,330.68
1974-07-21,330.65
1974-07-22,330.82
1974-07-23,330.7
1974-07-24,331.17
1974-07-25,331.21
1974-07-26,330.29
1974-07-27,330.45
1974-07-28,330.375
1974-07-29,330.29999999999995
1974-07-30,330.22499999999997
1974-07-31,330.15
1974-08-01,329.59
1974-08-02,329.69
1974-08-03,329.79
1974-08-04,330.23
1974-08-05,330.0
1974-08-06,329.77
1974-08-07,329.96
1974-08-08,330.15
1974-08-09,329.73
1974-08-10,329.37
1974-08-11,329.02
1974-08-12,329.38
1974-08-13,329.34
1974-08-14,328.985
1974-08-15,328.63
1974-08-16,328.995
1974-08-17,329.36
1974-08-18,329.37
1974-08-19,329.3
1974-08-20,329.07
1974-08-21,329.41
1974-08-22,329.08500000000004
1974-08-23,328.76
1974-08-24,328.47
1974-08-25,328.69
1974-08-26,328.89
1974-08-27,328.36
1974-08-28,327.96
1974-08-29,328.12
1974-08-30,328.24
1974-08-31,328.06
1974-09-01,328.15
1974-09-02,328.16999999999996
1974-09-03,328.19
1974-09-04,328.19
1974-09-05,328.19
1974-09-06,327.88
1974-09-07,327.87
1974-09-08,327.83500000000004
1974-09-09,327.8
1974-09-10,327.84
1974-09-11,327.46
1974-09-12,327.3533333333333
1974-09-13,327.24666666666667
1974-09-14,327.14
1974-09-15,327.06
1974-09-16,326.56
1974-09-17,326.06
1974-09-18,326.79
1974-09-19,327.23
1974-09-20,326.78
1974-09-21,326.42
1974-09-22,326.735
1974-09-23,327.05
1974-09-24,326.42
1974-09-25,326.25
1974-09-26,326.875
1974-09-27,327.5
1974-09-28,327.72
1974-09-29,327.28
1974-09-30,327.59
1974-10-01,327.48
1974-10-02,327.505
1974-10-03,327.53
1974-10-04,327.11
1974-10-05,326.69
1974-10-06,327.01
1974-10-07,327.29
1974-10-08,327.17
1974-10-09,327.08500000000004
1974-10-10,327.0
1974-10-11,326.72
1974-10-12,327.25
1974-10-13,327.15
1974-10-14,327.22
1974-10-15,327.24
1974-10-16,327.26
1974-10-17,327.18
1974-10-18,327.26
1974-10-19,327.34
1974-10-20,327.36
1974-10-21,327.3466666666667
1974-10-22,327.3333333333333
1974-10-23,327.32
1974-10-24,327.46
1974-10-25,327.41
1974-10-26,327.44
1974-10-27,327.6
1974-10-28,327.87
1974-10-29,327.53
1974-10-30,327.46
1974-10-31,327.48
1974-11-01,327.72
1974-11-02,327.8
1974-11-03,327.91
1974-11-04,327.95
1974-11-05,327.79
1974-11-06,327.86
1974-11-07,328.0
1974-11-08,327.76
1974-11-09,327.35
1974-11-10,327.91
1974-11-11,327.97
1974-11-12,328.105
1974-11-13,328.24
1974-11-14,328.14
1974-11-15,329.77
1974-11-16,328.98
1974-11-17,329.12
1974-11-18,328.64
1974-11-19,328.29
1974-11-20,328.425
1974-11-21,328.56
1974-11-22,328.56
1974-11-23,328.48
1974-11-24,328.4766666666667
1974-11-25,328.47333333333336
1974-11-26,328.47
1974-11-27,328.47
1974-11-28,328.59
1974-11-29,328.18
1974-11-30,328.6
1974-12-01,328.66
1974-12-02,328.7
1974-12-03,328.805
1974-12-04,328.91
1974-12-05,328.99
1974-12-06,328.87
1974-12-07,328.75
1974-12-08,329.23
1974-12-09,329.95
1974-12-10,329.42
1974-12-11,329.35
1974-12-12,329.06
1974-12-13,329.51
1974-12-14,329.24
1974-12-15,329.44
1974-12-16,329.44
1974-12-17,330.19
1974-12-18,329.78
1974-12-19,329.46
1974-12-20,330.21
1974-12-21,329.95
1974-12-22,329.94
1974-12-23,330.18
1974-12-24,329.83
1974-12-25,329.75
1974-12-26,330.32
1974-12-27,329.74
1974-12-28,329.96
1974-12-29,329.72
1974-12-30,330.69
1974-12-31,330.28
1975-01-01,330.39
1975-01-02,330.17
1975-01-03,330.65
1975-01-04,330.77
1975-01-05,330.66
1975-01-06,330.495
1975-01-07,330.33
1975-01-08,330.51
1975-01-09,330.43
1975-01-10,330.82
1975-01-11,330.2
1975-01-12,330.51
1975-01-13,330.38
1975-01-14,331.26
1975-01-15,331.54
1975-01-16,330.29
1975-01-17,330.18
1975-01-18,329.99
1975-01-19,330.53
1975-01-20,330.75
1975-01-21,330.62
1975-01-22,330.6
1975-01-23,330.5
1975-01-24,330.82
1975-01-25,331.73
1975-01-26,331.75
1975-01-27,331.33
1975-01-28,331.79
1975-01-29,331.31
1975-01-30,330.96
1975-01-31,330.74
1975-02-01,330.79
1975-02-02,330.71500000000003
1975-02-03,330.64
1975-02-04,332.02
1975-02-05,332.18
1975-02-06,331.78
1975-02-07,331.69
1975-02-08,331.55
1975-02-09,331.6
1975-02-10,330.95
1975-02-11,331.19
1975-02-12,330.88
1975-02-13,331.04
1975-02-14,331.09
1975-02-15,331.03
1975-02-16,331.17
1975-02-17,331.6
1975-02-18,331.03
1975-02-19,331.68
1975-02-20,331.52
1975-02-21,331.36
1975-02-22,331.7
1975-02-23,332.53
1975-02-24,331.92
1975-02-25,331.94
1975-02-26,331.76
1975-02-27,331.79
1975-02-28,331.19
1975-03-01,332.58
1975-03-02,332.42499999999995
1975-03-03,332.27
1975-03-04,332.115
1975-03-05,331.96
1975-03-06,331.55
1975-03-07,331.79
1975-03-08,331.685
1975-03-09,331.58
1975-03-10,331.73
1975-03-11,331.54
1975-03-12,331.635
1975-03-13,331.73
1975-03-14,331.68
1975-03-15,331.63
1975-03-16,331.86333333333334
1975-03-17,332.09666666666664
1975-03-18,332.33
1975-03-19,331.83
1975-03-20,332.22
1975-03-21,332.07
1975-03-22,332.12
1975-03-23,332.08
1975-03-24,331.88
1975-03-25,331.8425
1975-03-26,331.805
1975-03-27,331.76750000000004
1975-03-28,331.73
1975-03-29,332.15250000000003
1975-03-30,332.57500000000005
1975-03-31,332.9975
1975-04-01,333.42
1975-04-02,333.54
1975-04-03,333.81
1975-04-04,333.19
1975-04-05,332.56
1975-04-06,332.67
1975-04-07,332.54
1975-04-08,332.41
1975-04-09,332.01
1975-04-10,333.07
1975-04-11,333.76
1975-04-12,333.6925
1975-04-13,333.625
1975-04-14,333.5575
1975-04-15,333.49
1975-04-16,333.165
1975-04-17,332.84
1975-04-18,333.0
1975-04-19,333.16
1975-04-20,333.07
1975-04-21,333.42
1975-04-22,333.58
1975-04-23,333.75
1975-04-24,333.41999999999996
1975-04-25,333.09
1975-04-26,332.76
1975-04-27,333.01
1975-04-28,332.83
1975-04-29,332.83
1975-04-30,333.5
1975-05-01,333.9
1975-05-02,333.96
1975-05-03,334.34
1975-05-04,334.0
1975-05-05,333.91
1975-05-06,333.97
1975-05-07,333.91
1975-05-08,333.98
1975-05-09,333.82
1975-05-10,333.97
1975-05-11,333.99
1975-05-12,333.94
1975-05-13,333.98
1975-05-14,334.63
1975-05-15,334.57
1975-05-16,334.39
1975-05-17,333.90999999999997
1975-05-18,333.43
1975-05-19,333.42
1975-05-20,333.40999999999997
1975-05-21,333.4
1975-05-22,333.15
1975-05-23,333.9
1975-05-24,333.42
1975-05-25,333.91
1975-05-26,334.21
1975-05-27,334.25
1975-05-28,334.02
1975-05-29,334.03
1975-05-30,334.12
1975-05-31,333.44
1975-06-01,334.31
1975-06-02,334.02
1975-06-03,334.01
1975-06-04,333.5
1975-06-05,334.01
1975-06-06,334.14
1975-06-07,333.7
1975-06-08,334.02
1975-06-09,333.54
1975-06-10,333.23
1975-06-11,333.12
1975-06-12,332.905
1975-06-13,332.69
1975-06-14,332.56
1975-06-15,332.93
1975-06-16,333.24
1975-06-17,333.85
1975-06-18,333.34
1975-06-19,333.12
1975-06-20,333.43
1975-06-21,332.7
1975-06-22,333.32
1975-06-23,334.13
1975-06-24,334.24
1975-06-25,333.815
1975-06-26,333.39
1975-06-27,332.93
1975-06-28,333.0
1975-06-29,332.84
1975-06-30,333.255
1975-07-01,333.67
1975-07-02,333.02
1975-07-03,332.81
1975-07-04,332.97
1975-07-05,332.72
1975-07-06,332.7
1975-07-07,332.435
1975-07-08,332.17
1975-07-09,332.12
1975-07-10,332.92
1975-07-11,331.9
1975-07-12,332.1
1975-07-13,331.68
1975-07-14,332.02
1975-07-15,332.77
1975-07-16,331.5
1975-07-17,331.38666666666666
1975-07-18,331.27333333333337
1975-07-19,331.16
1975-07-20,330.99333333333334
1975-07-21,330.8266666666667
1975-07-22,330.66
1975-07-23,331.5
1975-07-24,331.66499999999996
1975-07-25,331.83
1975-07-26,331.47
1975-07-27,331.20500000000004
1975-07-28,330.94
1975-07-29,332.0
1975-07-30,331.12
1975-07-31,331.15
1975-08-01,330.87
1975-08-02,330.925
1975-08-03,330.98
1975-08-04,330.97
1975-08-05,331.35
1975-08-06,330.86
1975-08-07,330.89
1975-08-08,331.01
1975-08-09,330.85
1975-08-10,330.69
1975-08-11,330.53
1975-08-12,330.37
1975-08-13,330.32
1975-08-14,330.28
1975-08-15,330.58
1975-08-16,330.36
1975-08-17,330.27
1975-08-18,330.18
1975-08-19,329.58
1975-08-20,329.66
1975-08-21,329.34
1975-08-22,329.19
1975-08-23,328.95
1975-08-24,329.3
1975-08-25,328.08
1975-08-26,328.33666666666664
1975-08-27,328.59333333333336
1975-08-28,328.85
1975-08-29,328.76
1975-08-30,328.66
1975-08-31,328.63
1975-09-01,328.89666666666665
1975-09-02,329.16333333333336
1975-09-03,329.43
1975-09-04,329.26
1975-09-05,329.59
1975-09-06,329.68
1975-09-07,329.495
1975-09-08,329.31
